PASS -7d-cA      (271 tokens)
PASS 0BgVzw      (333 tokens)
PASS 1Hjbig      (319 tokens)
PASS 2ifcpA      (295 tokens)
PASS 8jayhg      (218 tokens)
PASS 8xAerw      (231 tokens)
PASS B5oBsA      (198 tokens)
PASS GyzQxg      (321 tokens)
PASS JSBacg      (245 tokens)
PASS MQ2ojg      (112 tokens)
PASS _kRK7A      (123 tokens)
PASS awB68w      (357 tokens)
PASS bRUa1g      (120 tokens)
PASS bcmaJw      (368 tokens)
PASS kQ_2mw      (411 tokens)
PASS po0FqQ      (103 tokens)
PASS raF8Lw      (233 tokens)
PASS u_8aBg      (307 tokens)
PASS unqOuw      (289 tokens)
PASS zp_G3w      (258 tokens)
lexer parity: 20/20
